,timestamp 23-06-2021 15:47:07,MAC address,Epoch 0
204,,0000000b101010000111,
205,,0000000b101010100011,
206,,0000000b101010110100,
207,,0000000b101101110111,
208,,0000000b101110111001,
209,,0000000b110000000000,
210,,0000000b110010000010,
211,,0000000b110101010000,
212,,0000000b110110110010,
213,,0000000b111000100111,
214,,0000000b111001010111,
215,,0000000b111001100111,
216,,0000000b111001101011,
217,,0000000b111101010000,
218,,0000000b111111001000,
219,,000000b1000010000101,
220,,000000b1000011100110,
221,,000000b1000110101001,
222,,000000b1000111000011,
223,,000000b1001000011010,
224,,000000b1001000011101,
225,,000000b1001100010110,
226,,000000b1001110011001,
227,,000000b1010001101101,
228,,000000b1010100100101,
229,,000000b1010101010100,
230,,000000b1011000100111,
231,,000000b1011110101001,
232,,000000b1100010011111,
233,,000000b1100010101011,
234,,000000b1100100011011,
235,,000000b1100100011100,
236,,000000b1100110010101,
237,,000000b1101001001111,
238,,000000b1101100010101,
239,,000000b1101110010011,
240,,000000b1101111001010,
241,,000000b1101111110100,
242,,000000b1111000010101,
243,,000000b1111100100010,
244,,000000b1111110000100,
245,,000000b1111110010010,
246,,00000b10000011010000,
247,,00000b10000011010010,
248,,00000b10000100011101,
249,,00000b10000101110111,
250,,00000b10000101111101,
251,,00000b10000110011011,
252,,00000b10001010110011,
253,,00000b10001100111111,
254,,00000b10010000100110,
255,,00000b10010001101011,
256,,00000b10010010101110,
257,,00000b10010110001011,
258,,00000b10011101010101,
259,,00000b10011101100100,
260,,00000b10011111010100,
261,,00000b10100000000110,
262,,00000b10100000101001,
263,,00000b10100010111010,
264,,00000b10100110101110,
265,,00000b10100111001011,
266,,00000b10101000001111,
267,,00000b10101001010001,
268,,00000b10101001111110,
269,,00000b10101011100010,
270,,00000b10101101011000,
271,,00000b10101111011001,
272,,00000b10110000110100,
273,,00000b10110010100001,
274,,00000b10110011001010,
275,,00000b10110011101100,
